,0,val_loss
54,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 389, 'act_fn': 'relu', 'learning_rate': 0.17442219397368056}"
55,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 208, 'act_fn': 'relu', 'learning_rate': 0.8731693394087112}"
56,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 5219, 'act_fn': 'relu', 'learning_rate': 0.7084425197696117}"
57,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 332, 'act_fn': 'relu', 'learning_rate': 0.17227163834126974}"
58,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 2362, 'act_fn': 'relu', 'learning_rate': 0.1222461401557916}"
59,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 284, 'act_fn': 'relu', 'learning_rate': 0.6572014175601869}"
60,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 4059, 'act_fn': 'relu', 'learning_rate': 0.6741824621382891}"
61,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 1656, 'act_fn': 'relu', 'learning_rate': 0.21992694327890272}"
62,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 4173, 'act_fn': 'relu', 'learning_rate': 0.07954291950095874}"
63,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 516, 'act_fn': 'relu', 'learning_rate': 0.5468233835928211}"
64,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 508, 'act_fn': 'relu', 'learning_rate': 0.5957695249790892}"
65,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 5621, 'act_fn': 'relu', 'learning_rate': 0.9919148154632946}"
66,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 6018, 'act_fn': 'relu', 'learning_rate': 0.14670832946221649}"
67,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 17, 'act_fn': 'relu', 'learning_rate': 0.25214901923012667}"
68,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 4272, 'act_fn': 'relu', 'learning_rate': 0.6691675144169072}"
69,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 4981, 'act_fn': 'relu', 'learning_rate': 0.1789812078768728}"
70,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 1396, 'act_fn': 'relu', 'learning_rate': 0.9474276711344769}"
71,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 418, 'act_fn': 'relu', 'learning_rate': 0.9554964587088827}"
72,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 4770, 'act_fn': 'relu', 'learning_rate': 0.5756201924901906}"
73,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 484, 'act_fn': 'relu', 'learning_rate': 0.97285351453684}"
74,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 963, 'act_fn': 'relu', 'learning_rate': 0.9421512880423594}"
75,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 563, 'act_fn': 'relu', 'learning_rate': 0.9808773919097518}"
76,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 1811, 'act_fn': 'relu', 'learning_rate': 0.5609738669140404}"
77,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 385, 'act_fn': 'relu', 'learning_rate': 0.974793890670453}"
78,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 4899, 'act_fn': 'relu', 'learning_rate': 0.5846729205003779}"
79,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 2032, 'act_fn': 'relu', 'learning_rate': 0.8402791888433419}"
80,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 4773, 'act_fn': 'relu', 'learning_rate': 0.5338281406441209}"
81,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 7, 'act_fn': 'relu', 'learning_rate': 0.9502207435987831}"
82,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 41, 'act_fn': 'relu', 'learning_rate': 0.5069165633458563}"
83,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 3985, 'act_fn': 'relu', 'learning_rate': 0.8980102568126243}"
84,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 4261, 'act_fn': 'relu', 'learning_rate': 0.5645030900969077}"
85,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 4074, 'act_fn': 'relu', 'learning_rate': 0.5054956896882906}"
86,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 1751, 'act_fn': 'relu', 'learning_rate': 0.9432875307349201}"
87,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 17, 'act_fn': 'relu', 'learning_rate': 0.9455717812970206}"
88,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 618, 'act_fn': 'relu', 'learning_rate': 0.8510942708829836}"
89,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 5020, 'act_fn': 'relu', 'learning_rate': 0.09635082203400226}"
90,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 283, 'act_fn': 'relu', 'learning_rate': 0.044482749243002315}"
91,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 524, 'act_fn': 'relu', 'learning_rate': 0.7593819335404294}"
92,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 3962, 'act_fn': 'relu', 'learning_rate': 0.6314615584864317}"
93,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 552, 'act_fn': 'relu', 'learning_rate': 0.6365424454597124}"
94,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 175, 'act_fn': 'relu', 'learning_rate': 0.6188080623091521}"
95,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 483, 'act_fn': 'relu', 'learning_rate': 0.09666697821541936}"
96,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 4185, 'act_fn': 'relu', 'learning_rate': 0.5431748120049377}"
