,0,val_loss
47,4.399999999996015,"{'nlayers': 4, 'nodes_in_layer1': 52, 'nodes_in_layer2': 193, 'nodes_in_layer3': 672, 'nodes_in_layer4': 418, 'act_fn': 'relu', 'learning_rate': 0.031736391297549175}"
48,2.0,"{'nlayers': 2, 'nodes_in_layer1': 89, 'nodes_in_layer2': 531, 'act_fn': 'relu', 'learning_rate': 0.12893311789321935}"
49,4.4,"{'nlayers': 4, 'nodes_in_layer1': 189, 'nodes_in_layer2': 182, 'nodes_in_layer3': 511, 'nodes_in_layer4': 305, 'act_fn': 'relu', 'learning_rate': 0.07025920007718207}"
50,6.043696528154998,"{'nlayers': 4, 'nodes_in_layer1': 103, 'nodes_in_layer2': 118, 'nodes_in_layer3': 44, 'nodes_in_layer4': 238, 'act_fn': 'tanh', 'learning_rate': 0.004220103381216395}"
51,4.5,"{'nlayers': 3, 'nodes_in_layer1': 86, 'nodes_in_layer2': 249, 'nodes_in_layer3': 36, 'act_fn': 'tanh', 'learning_rate': 0.08828050044386196}"
52,1.9933352396126987,"{'nlayers': 2, 'nodes_in_layer1': 50, 'nodes_in_layer2': 196, 'act_fn': 'relu', 'learning_rate': 0.0005028118380215068}"
53,4.5769067704162705,"{'nlayers': 3, 'nodes_in_layer1': 43, 'nodes_in_layer2': 38, 'nodes_in_layer3': 202, 'act_fn': 'sigmoid', 'learning_rate': 0.018235768593670928}"
54,2.6908940359535034,"{'nlayers': 3, 'nodes_in_layer1': 945, 'nodes_in_layer2': 192, 'nodes_in_layer3': 98, 'act_fn': 'relu', 'learning_rate': 0.0008033232943985174}"
55,2.0,"{'nlayers': 2, 'nodes_in_layer1': 42, 'nodes_in_layer2': 35, 'act_fn': 'relu', 'learning_rate': 0.0989362344625577}"
56,3.6027158453334236,"{'nlayers': 3, 'nodes_in_layer1': 132, 'nodes_in_layer2': 58, 'nodes_in_layer3': 55, 'act_fn': 'tanh', 'learning_rate': 0.008603257966816337}"
57,1.7553834355594113,"{'nlayers': 3, 'nodes_in_layer1': 316, 'nodes_in_layer2': 85, 'nodes_in_layer3': 879, 'act_fn': 'relu', 'learning_rate': 0.008987295036366194}"
58,2.695727379063677,"{'nlayers': 3, 'nodes_in_layer1': 137, 'nodes_in_layer2': 76, 'nodes_in_layer3': 110, 'act_fn': 'relu', 'learning_rate': 9.043386029308423e-05}"
59,3.5,"{'nlayers': 1, 'nodes_in_layer1': 38, 'act_fn': 'tanh', 'learning_rate': 0.1167919816003065}"
60,4.594336649513242,"{'nlayers': 3, 'nodes_in_layer1': 166, 'nodes_in_layer2': 45, 'nodes_in_layer3': 176, 'act_fn': 'sigmoid', 'learning_rate': 0.0003497506324417569}"
61,3.895597486406926,"{'nlayers': 2, 'nodes_in_layer1': 128, 'nodes_in_layer2': 271, 'act_fn': 'sigmoid', 'learning_rate': 0.00011767065210216007}"
62,1.9995941939937893,"{'nlayers': 2, 'nodes_in_layer1': 281, 'nodes_in_layer2': 183, 'act_fn': 'relu', 'learning_rate': 0.021856366894450932}"
